service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20220926,20221216
2,1,1,1,1,0,0,0,20220926,20221216
3,0,1,0,0,0,0,0,20220926,20221216
4,0,0,0,1,0,0,0,20220926,20221216
5,0,0,0,0,1,0,0,20220926,20221216
6,1,0,0,0,0,0,0,20220926,20221216
7,0,1,1,1,1,0,0,20220926,20221216
8,1,1,1,0,1,0,0,20220926,20221216
9,1,1,0,1,1,0,0,20220926,20221216
10,1,1,0,1,0,0,0,20220926,20221216
11,0,0,0,0,0,1,0,20220926,20221216
12,0,0,0,0,0,0,1,20220926,20221216
14,0,1,1,0,1,0,0,20220926,20221216
16,0,1,0,1,1,0,0,20220926,20221216
17,0,0,1,0,0,0,0,20220926,20221216
18,1,0,1,1,1,0,0,20220926,20221216
19,0,0,1,1,1,0,0,20220926,20221216
21,1,1,1,1,1,0,0,20220926,20221216
22,1,1,1,1,0,0,0,20220926,20221216
23,0,1,0,0,0,0,0,20220926,20221216
24,0,0,0,1,0,0,0,20220926,20221216
25,0,0,0,0,1,0,0,20220926,20221216
26,1,0,0,0,0,0,0,20220926,20221216
27,0,1,1,1,1,0,0,20220926,20221216
28,1,1,1,0,1,0,0,20220926,20221216
30,1,1,0,1,0,0,0,20220926,20221216
31,1,1,1,1,1,0,0,20221004,20221014
43,0,0,1,0,0,0,0,20220926,20221216
44,1,1,0,1,1,0,0,20220926,20221216
45,1,0,1,1,1,0,0,20220926,20221216
48,1,0,0,1,1,0,0,20220926,20221216
50,0,1,0,1,1,0,0,20220926,20221216
51,1,1,0,0,1,0,0,20220926,20221216
53,1,0,0,1,1,0,0,20220926,20221216
57,1,0,1,1,0,0,0,20220926,20221216
59,1,0,1,0,1,0,0,20220926,20221216
64,1,1,0,0,1,0,0,20220926,20221216
80,0,0,0,0,0,0,1,20220926,20221216
81,0,0,0,0,0,0,1,20220926,20221003
3001,1,1,1,1,1,0,0,20220926,20221216
3002,0,0,0,0,0,1,0,20220926,20221216
3003,0,0,0,0,0,0,1,20220926,20221216
4501,1,1,1,1,1,0,0,20220926,20221216
4502,0,0,0,0,0,1,0,20220926,20221216
4503,0,0,0,0,0,0,1,20220926,20221216
4506,0,0,0,0,1,0,0,20220926,20221216
4509,1,1,1,1,0,0,0,20220926,20221216
4601,1,1,1,1,1,0,0,20220926,20221216
4602,0,0,0,0,0,1,0,20220926,20221216
4603,0,0,0,0,0,0,1,20220926,20221216
4604,0,0,1,0,0,0,0,20220926,20221216
4607,1,1,0,1,1,0,0,20220926,20221216
5501,1,1,1,1,1,0,0,20220926,20221216
5502,0,0,0,0,0,1,0,20220926,20221216
5503,0,0,0,0,0,0,1,20220926,20221216
5504,0,0,1,0,0,0,0,20220926,20221216
5506,0,0,0,0,1,0,0,20220926,20221216
5507,1,1,0,1,1,0,0,20220926,20221216
5512,0,1,1,1,1,0,0,20220926,20221216
5513,1,0,1,1,1,0,0,20220926,20221216
5514,1,0,0,0,0,0,0,20220926,20221216
5515,0,1,0,0,0,0,0,20220926,20221216
5536,0,1,1,1,0,0,0,20220926,20221216
5701,1,1,1,1,1,0,0,20220926,20221216
8302,0,0,0,0,0,1,0,20220926,20221015
8303,0,0,0,0,0,0,1,20220926,20221016
8402,0,0,0,0,0,1,0,20220926,20221216
8403,0,0,0,0,0,0,1,20220926,20221216
8501,1,1,1,1,1,0,0,20220926,20221216
8502,0,0,0,0,0,1,0,20220926,20221216
8503,0,0,0,0,0,0,1,20220926,20221216
8602,0,0,0,0,0,1,0,20220926,20221216
8603,0,0,0,0,0,0,1,20220926,20221216
8702,0,0,0,0,0,1,0,20221001,20221001
8703,0,0,0,0,0,0,1,20221002,20221003
8801,1,1,1,1,1,0,0,20220926,20221028
8901,1,1,1,1,1,0,0,20221029,20221216
9001,1,1,1,1,1,0,0,20221029,20221216
9004,0,0,1,0,0,0,0,20221029,20221216
9007,1,1,0,1,1,0,0,20221029,20221216
9012,0,1,1,1,1,0,0,20221029,20221216
9013,1,0,1,1,1,0,0,20221029,20221216
9014,1,0,0,0,0,0,0,20221029,20221216
9015,0,1,0,0,0,0,0,20221029,20221216
9101,1,1,1,1,1,0,0,20220926,20221028
9104,0,0,1,0,0,0,0,20220926,20221028
9107,1,1,0,1,1,0,0,20220926,20221028
9112,0,1,1,1,1,0,0,20220926,20221028
9114,1,0,0,0,0,0,0,20220926,20221028
9401,1,1,1,1,1,0,0,20221216,20221216
9402,0,0,0,0,0,1,0,20221216,20221216
9403,0,0,0,0,0,0,1,20221216,20221216
9501,1,1,1,1,1,0,0,20220926,20221216
9502,0,0,0,0,0,1,0,20220926,20221216
9503,0,0,0,0,0,0,1,20220926,20221216
